"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22720",2021,12,"2021_12",451,"8409265021",439,49,"card",10027.5,"Howell (O&R)",">=$50,000","0",0,0
"22721",2021,12,"2021_12",1162,"3873245029",1204,444,"card",5106.25,"Howell (O&R)",">=$50,000","0",0,0
"22722",2021,12,"2021_12",793,"2596438007",753,182,"card",6216.3,"Howell (O&R)",">=$50,000","0",0,0
"22723",2021,12,"2021_12",953,"2296162011",949,291,"card",8177.4,"Howell (O&R)",">=$50,000","0",0,0
"22724",2021,12,"2021_12",807,"2032590008",774,193,"card",9361.46,"Howell (O&R)",">=$50,000","0",0,0
"22725",2021,12,"2021_12",1376,"3811301124",1540,553,"card",1591.08,"Howell (O&R)",">=$50,000","0",0,0
"22726",2021,12,"2021_12",1376,"3811301124",1540,553,"card",1591.08,"Howell (O&R)",">=$50,000","0",0,0
"22727",2020,6,"2020_6",701,"21001238670",659,110,"card",12517.3,"Frog Hollow (CHGE)","not in list","0",0,0
"22728",2020,6,"2020_6",1195,"21002954747",1247,463,"card",3984.48,"Frog Hollow (CHGE)","not in list","0",0,0
"22729",2020,6,"2020_6",1195,"21002954747",1247,463,"card",3984.48,"Frog Hollow (CHGE)","not in list","0",0,0
"22730",2021,12,"2021_12",1128,"2931081026",1165,416,"card",8880.43,"Howell (O&R)",">=$50,000","0",0,0
"22731",2021,12,"2021_12",1366,"6667295003",1511,545,"card",15947.8,"Howell (O&R)",">=$50,000","0",0,0
"22732",2021,12,"2021_12",1366,"6667295003",1511,545,"card",15947.8,"Howell (O&R)",">=$50,000","0",0,0
"22733",2021,12,"2021_12",1347,"3175015007",1441,533,"card",3478.17,"Howell (O&R)",">=$50,000","0",0,0
"22734",2020,6,"2020_6",1394,"21000748240",1565,561,"ach",9961.19,"Frog Hollow (CHGE)","not in list","0",0,0
"22735",2021,12,"2021_12",944,"8401866017",939,282,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22736",2021,12,"2021_12",944,"8401866017",939,282,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22737",2021,12,"2021_12",944,"8401866017",939,282,"card",5661.28,"Howell (O&R)",">=$50,000","0",0,0
"22738",2021,12,"2021_12",919,"6238882003",912,262,"card",8695.42,"Howell (O&R)",">=$50,000","0",0,0
"22739",2021,12,"2021_12",767,"4172488018",726,158,"card",10360.5,"Howell (O&R)","$0-$49,999","0",0,0
"22740",2021,12,"2021_12",906,"4404540007",896,254,"card",3219.16,"Howell (O&R)",">=$50,000","0",0,0
"22741",2021,12,"2021_12",906,"4404540007",896,254,"card",3219.16,"Howell (O&R)",">=$50,000","0",0,0
"22742",2021,12,"2021_12",906,"4404540007",896,254,"card",3219.16,"Howell (O&R)",">=$50,000","0",0,0
"22743",2021,12,"2021_12",605,"3752504021",556,85,"card",8473.41,"Howell (O&R)",">=$50,000","0",0,0
"22744",2021,12,"2021_12",605,"3752504021",556,85,"card",8473.41,"Howell (O&R)",">=$50,000","0",0,0
"22745",2021,12,"2021_12",982,"8410298018",982,310,"card",4292.21,"Howell (O&R)",">=$50,000","0",0,0
"22746",2021,12,"2021_12",982,"8410298018",982,310,"ach",4292.21,"Howell (O&R)",">=$50,000","0",0,0
"22747",2020,6,"2020_6",1208,"21000532545",1265,475,"card",5074.57,"Frog Hollow (CHGE)","not in list","0",0,0
"22748",2021,12,"2021_12",541,"4027593008",492,79,"card",16909.8,"Howell (O&R)",">=$50,000","0",0,0
